compound,swa_0,swa_1
a-terpinol,0.19 ± 0.03,0.14 ± 0.03
benzothiazole,0.41 ± 0.05,0.38 ± 0.04
bocimene,0.21 ± 0.03,0.27 ± 0.06
bpinene,0.47 ± 0.11,0.34 ± 0.06
butylatedhydroxtoluene,0.61 ± 0.04,0.53 ± 0.06
caprylyl acetate,0.23 ± 0.03,0.12 ± 0.02
caryophyllene,0.55 ± 0.15,0.76 ± 0.15
cyclohexene,1.23 ± 0.19,3.01 ± 0.21
decanal,0.82 ± 0.08,0.67 ± 0.06
diethylphthalate,0.44 ± 0.05,0.53 ± 0.05
dimethylnona,0.11 ± 0.01,0.19 ± 0.01
dodecanal,0.34 ± 0.04,0.35 ± 0.03
dodecylacrylate,0.14 ± 0.02,0.45 ± 0.14
ethylhexylsalicylate,4.44 ± 1.20,3.44 ± 0.82
hexadecane,0.62 ± 0.06,0.60 ± 0.05
hexenylisovalerate,0.31 ± 0.06,0.71 ± 0.21
homosalate,9.02 ± 2.44,7.17 ± 1.76
humulene,0.28 ± 0.05,0.13 ± 0.02
linalool,0.12 ± 0.02,0.16 ± 0.03
manoyl oxide,1.27 ± 0.23,2.63 ± 0.37
methylsalicylate,0.50 ± 0.14,0.68 ± 0.13
nanodecane,0.43 ± 0.11,0.22 ± 0.07
nonanal,1.34 ± 0.13,1.11 ± 0.10
octanal,1.04 ± 0.37,0.45 ± 0.06
p-trimethyl,0.26 ± 0.07,0.20 ± 0.05
sixmethyl,0.46 ± 0.05,0.56 ± 0.07
standard,1.22 ± 0.04,1.19 ± 0.05
tetradec,0.49 ± 0.03,0.47 ± 0.04
tetradecane,0.34 ± 0.04,0.34 ± 0.04
tetramethyl,1.08 ± 0.06,1.11 ± 0.09
tridecane,0.29 ± 0.09,0.27 ± 0.13
y-cadinene,0.36 ± 0.03,0.26 ± 0.06
z3hex,0.93 ± 0.28,0.76 ± 0.13